"","price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed"
"49","3950000","flat","Queen Anne's Gate, Westminster, London SW1H","51.500872","-0.132372","2nd Sep 2021","3","2",NA,"0","1","0","0"
"50","6e+05","semi-detached","Marlton Street, London SE10","51.486611","0.013157","2nd Sep 2021","2","0",NA,"1","1","0","0"
"51","4e+05","flat","Signia Court, Wembley Hill Road, Wembley, Middlesex HA9","51.555883","-0.286447","2nd Sep 2021","0","0",NA,"1","1","0","1"
"52","489950","flat","Cecil Close, Mount Avenue, London W5","51.524281","-0.302247","2nd Sep 2021","2","0",NA,"1","1","0","0"
"53","750000","flat","Landward Court, Marylebone, London W1H","51.5172","-0.165112","2nd Sep 2021","3","2",NA,"0","1","0","0"
"54","550000","flat","Compton Road, Winchmore Hill N21","51.632083","-0.098534","2nd Sep 2021","2","0",NA,"1","1","0","0"
"55","999950","detached","Cunningham Park, Harrow HA1","51.587723","-0.345769","2nd Sep 2021","5","2",NA,"0","0","3","0"
"56","750000","terraced","Lower Richmond Road, Richmond, Surrey TW9","51.467894","-0.28164","2nd Sep 2021","4","2",NA,"0","0","2","0"
"57","9e+05","mews","Blake Mews, Kew, Richmond, Surrey TW9","51.476182","-0.285735","2nd Sep 2021","2","2",NA,"0","0","2","0"
"58","820000","terraced","Winters Road, Thames Ditton KT7","51.389717","-0.32296","2nd Sep 2021","3","3",NA,"0","0","2","0"
"59","340000","flat","Lyonsdown Road, Barnet EN5","51.644899","-0.178265","2nd Sep 2021","2","0",NA,"1","1","0","0"
"60","4e+05","flat","Coppetts Road, London N10","51.604291","-0.15554","2nd Sep 2021","2","2",NA,"0","1","0","0"
"61","595000","flat","Signia Court, Wembley Hill Road, Wembley, Middlesex HA9","51.555883","-0.286447","2nd Sep 2021","3","0",NA,"1","1","0","0"
"62","350000","sale","Filmer Road, London SW6","51.479768","-0.207349","2nd Sep 2021","0","0",NA,"1","1","0","0"
"63","1400000","flat","Harcourt Terrace, London SW10","51.487737","-0.186463","2nd Sep 2021","2","0",NA,"1","0","0","0"
"64","8e+05","flat","St. George Wharf, London SW8","51.485704","-0.125117","2nd Sep 2021","2","2",NA,"0","1","0","0"
"65","310000","flat","Homerton High Street, Hackney E9","51.54781","-0.045571","2nd Sep 2021","0","0",NA,"1","1","0","1"
"66","1150000","semi-detached","Westbrook Road, Heston, Hounslow TW5","51.483508","-0.377074","2nd Sep 2021","7","3",NA,"0","1","0","0"
"67","1500000","end","Rotherfield Street, Islington, London N1","51.540295","-0.092688","2nd Sep 2021","3","2",NA,"0","0","2","0"
"68","399950","flat","Cumberland Mills Square, London E14","51.487789","-0.005776","2nd Sep 2021","0","0",NA,"1","1","0","1"
"69","725000","maisonette","Brandlehow Road, London SW15","51.461379","-0.207417","2nd Sep 2021","2","2",NA,"0","1","0","0"
"70","475000","terraced","Dirdene Gardens, Epsom KT17","51.337402","-0.25659","2nd Sep 2021","3","0",NA,"1","0","2","0"
"71","399950","flat","Lapford Close, London W9","51.527031","-0.202144","2nd Sep 2021","2","0",NA,"1","1","0","0"
"72","599950","semi-detached","Addington Road, West Wickham BR4","51.369653","-0.00429","2nd Sep 2021","3","0",NA,"1","0","2","0"
"73","675000","terraced","Olive Road, London W5","51.499591","-0.303774","2nd Sep 2021","3","2",NA,"0","1","0","0"
"74","384950","flat","Rommany Road, London SE27","51.427765","-0.089063","2nd Sep 2021","0","0",NA,"1","1","0","1"
"75","1395000","flat","Hilary Mews, London SE1","51.50179","-0.093073","2nd Sep 2021","3","2",NA,"0","1","0","0"
"76","564950","semi-detached","Coldharbour Lane, Hayes, Greater London UB3","51.513129","-0.411886","2nd Sep 2021","3","2",NA,"0","0","2","0"
"77","695000","flat","Christchurch Avenue, Brondesbury NW6","51.544477","-0.209056","2nd Sep 2021","2","2",NA,"0","1","0","0"
"78","8e+05","semi-detached","Broomfield Road, Bexleyheath, Kent DA6","51.451372","0.15","2nd Sep 2021","4","0",NA,"1","0","2","0"
"79","425000","flat","7 Lyell Street, Meade House, London City Island E14","51.512486","0.005958","2nd Sep 2021","0","0",NA,"1","0","0","1"
"80","725000","end","Cottingham Road, London SE20","51.41407","-0.049298","2nd Sep 2021","3","0",NA,"1","1","0","0"
"81","447170","maisonette","Kiln Place, London NW5","51.553442","-0.151135","2nd Sep 2021","2","0",NA,"1","1","0","0"
"82","799999","sale","Grosvenor Avenue, London N5","51.549498","-0.088656","2nd Sep 2021","0","0",NA,"0","0","0","0"
"83","1300000","flat","Crown Lodge, Elystan Street SW3","51.491753","-0.167764","2nd Sep 2021","2","2",NA,"0","1","0","0"
"84","999950","terraced","Boaters Avenue, Brentford TW8","51.484084","-0.313679","2nd Sep 2021","5","3",NA,"0","1","0","0"
"85","425000","flat","Hazellville Road, London N19","51.573007","-0.130877","2nd Sep 2021","0","0",NA,"1","1","0","1"
"86","1200000","flat","Arkwright Road, Hampstead, London NW3","51.551182","-0.182022","2nd Sep 2021","3","2",NA,"0","1","0","0"
"87","148000","sale","Caledonian Road, Islington, London N1","51.540143","-0.116676","2nd Sep 2021","0","0",NA,"1","1","0","0"
"88","625000","semi-detached","Barmor Close, Harrow HA2","51.600647","-0.356902","2nd Sep 2021","4","0",NA,"1","0","2","0"
"89","3e+06","semi-detached","Lessar Avenue, London SW4","51.454724","-0.143885","2nd Sep 2021","7","0","3,488","0","0","0","0"
"90","575000","end","Chatsworth Avenue, Wembley HA9","51.552363","-0.286643","2nd Sep 2021","3","0",NA,"1","0","2","0"
"91","8e+05","terraced","Laburnum Road, London SW19","51.417272","-0.183529","2nd Sep 2021","4","2",NA,"0","0","2","0"
"92","1100000","flat","Gloucester Walk, London W8","51.504808","-0.194848","2nd Sep 2021","0","0",NA,"1","1","0","1"
"93","399950","maisonette","Henley Close, Isleworth TW7","51.476013","-0.335432","2nd Sep 2021","2","0",NA,"1","1","0","0"
"94","475000","end","Waddon Road, Croydon, Surrey CR0","51.371244","-0.116161","2nd Sep 2021","3","0",NA,"1","0","2","0"
"95","550000","semi-detached","Hook Road, Epsom KT19","51.342006","-0.26921","2nd Sep 2021","3","2",NA,"0","0","2","0"
"96","3e+05","terraced","101 Halstead Road, Winchmore Hill, London N21","51.631042","-0.087818","2nd Sep 2021","3","0",NA,"0","0","0","0"
"97","450000","terraced","Rugby Road, Dagenham RM9","51.540004","0.118721","2nd Sep 2021","4","0",NA,"1","1","0","0"
"98","340000","flat","Derbyshire Street, London E2","51.526687","-0.061538","2nd Sep 2021","0","0",NA,"1","1","0","1"
"99","370000","flat","Coutts Crescent, St. Albans Road, London NW5","51.547725","-0.153693","2nd Sep 2021","0","0",NA,"1","1","0","1"
"100","385000","flat","Whitestile Road, Brentford TW8","51.494207","-0.305826","2nd Sep 2021","0","0",NA,"1","1","0","1"
